"id","outcome","sample","model","n","term","est","se","lo","hi","p","note"
"T4","ami","primary","weighted SEM queen",2305,"dist",-0.330423157538542,0.171340939376031,-0.666251398715563,0.00540508363847958,0.0537986533438325,""
"T4","ami","primary","WLS (ZIP-clustered)",2305,"pm25",-0.332718996108569,0.306956233065994,-0.936972769626729,0.271534777409592,0.279335103685198,""
"T4","ami","primary","weighted SEM queen",2305,"pm25",0.180836252424857,0.265882987309051,-0.340294402700883,0.701966907550596,0.496419158929118,""
"T4","ami","primary","WLS (ZIP-clustered)",2305,"ozone",-0.868566267854647,0.278018521515887,-1.41585517303807,-0.321277362671226,0.00197182526836586,"per 0.01 ppm"
"T4","ami","primary","weighted SEM queen",2305,"ozone",-0.685562938193988,0.368596519678595,-1.40801211676403,0.0368862403760585,0.0628957322469099,"per 0.01 ppm"
"T4","ami","primary","WLS (ZIP-clustered)",2305,"poverty",0.135369381160577,0.0127280125005766,0.110313856123539,0.160424906197614,2.17326201858956e-22,""
"T4","ami","primary","weighted SEM queen",2305,"poverty",0.0318265802157562,0.00501150397543677,0.0220040324239001,0.0416491280076123,2.14331250372923e-10,""
"T4","ami","primary","OLS unweighted (ZIP-clustered)",2305,"dist",0.581448809687631,0.316597779186771,-0.0417846749373467,1.20468229431261,0.0673434322091308,""
"T4","ami","primary","SEM unweighted queen",2305,"dist",-0.163520691849527,0.149361545321647,-0.456269320679955,0.129227936980901,0.273605228644548,""
"T4std","asthma","primary","WLS standardized coefficient",2305,"dist",0.0621767671579475,NA,NA,NA,NA,"partial R2 0.0043"
"T4std","asthma","primary","WLS standardized coefficient",2305,"pm25",-0.19373817808566,NA,NA,NA,NA,"partial R2 0.0412"
"T4std","asthma","primary","WLS standardized coefficient",2305,"ozone",-0.109968545051244,NA,NA,NA,NA,"partial R2 0.0141"
"T4std","asthma","primary","WLS standardized coefficient",2305,"poverty",0.555429870851813,NA,NA,NA,NA,"partial R2 0.3099"
"T4std","ami","primary","WLS standardized coefficient",2305,"dist",0.0779654771843163,NA,NA,NA,NA,"partial R2 0.0063"
"T4std","ami","primary","WLS standardized coefficient",2305,"pm25",-0.0700525926230627,NA,NA,NA,NA,"partial R2 0.0052"
"T4std","ami","primary","WLS standardized coefficient",2305,"ozone",-0.149468404535105,NA,NA,NA,NA,"partial R2 0.0241"
"T4std","ami","primary","WLS standardized coefficient",2305,"poverty",0.512713146974732,NA,NA,NA,NA,"partial R2 0.2636"
"T4B","asthma","primary","WLS within/between ZIP",2305,"dist_w",-0.782692689128241,0.717887098195196,-2.19587783188176,0.630492453625281,0.276537158049174,""
"T4B","asthma","primary","WLS within/between ZIP",2305,"dist_b",12.34392940054,5.97216911988254,0.587511585750741,24.1003472153293,0.0396684204365301,""
"T4B","asthma","primary","WLS within/between ZIP",2305,"pm25_w",4.031887710984,1.33855295516816,1.39690074187966,6.66687468008833,0.00283305379514218,""
"T4B","asthma","primary","WLS within/between ZIP",2305,"pm25_b",-5.15747706736384,2.38125669001157,-9.84506176399225,-0.469892370735431,0.0311717387205833,""
"T4B","asthma","primary","WLS ZIP fixed effects",2305,"dist",-0.78269268912824,0.764982525253681,-2.28858678009661,0.723201401840128,0.307125919111906,""
"T4B","ami","primary","WLS within/between ZIP",2305,"dist_w",-0.226972243421814,0.149452364303704,-0.521174300144046,0.0672298133004174,0.129976223893129,""
"T4B","ami","primary","WLS within/between ZIP",2305,"dist_b",2.80241988918223,0.966242770974154,0.900338166768562,4.7045016115959,0.00402547948358815,""
"T4B","ami","primary","WLS within/between ZIP",2305,"pm25_w",0.889293343518598,0.336111047707405,0.227647326854465,1.55093936018273,0.00861311274132431,""
"T4B","ami","primary","WLS within/between ZIP",2305,"pm25_b",-0.187967197043391,0.288788520249317,-0.756457210640408,0.380522816553627,0.515660385472662,""
"T4B","ami","primary","WLS ZIP fixed effects",2305,"dist",-0.226972243421815,0.159256862726198,-0.540474788393037,0.0865303015494077,0.155222293893096,""
"S0","asthma","Primary analysis (population-weighted)","WLS (ZIP-clustered)",2305,"exposure per 0.376",1.63668822427948,0.901172851237195,-0.137301150404834,3.4106775989638,0.070420455096709,""
"S0","asthma","Primary analysis (population-weighted)","weighted SEM",2305,"exposure per 0.376",-1.01301536575848,0.306668002760026,-1.61408465116814,-0.411946080348834,0.00095555267323356,""
"S0","ami","Primary analysis (population-weighted)","WLS (ZIP-clustered)",2305,"exposure per 0.376",0.343831769514216,0.14421080979482,0.0599478909226544,0.627715648105778,0.0177858488665884,""
"S0","ami","Primary analysis (population-weighted)","weighted SEM",2305,"exposure per 0.376",-0.124076016153497,0.0643396223198917,-0.250181675900485,0.00202964359349048,0.0537986533438325,""
"S24","asthma","Straight-line measure: distance from geographic centroid to three nearest parks","WLS (ZIP-clustered)",2305,"exposure per 0.279",2.40103990893446,1.00916185151504,0.414470518315705,4.38760929955321,0.018023388445646,""
