"geoid_2010","zip","population","network_dist_3parks_miles","mean_dist_3parks_miles","asthma_ed_per10k","ami_ed_per10k","pm25_ug_m3","ozone_ppm","poverty_pct_below_2x_fpl","ozone_ppm_ces3_2012_2014","land_area_sq_mi","in_primary","within_1p25mi"
"06037276601","90293",4115,0.857185909289748,0.51458967,18.05,7.15,11.64915206,0.04435661,14,0.046,0.865503491137648,1,1
"06037431002","91016",3165,0.506759275829158,0.362772393333333,28.74,6.9,11.86061314,0.06236471,31.4,0.053,0.528525144850955,1,1
"06037190901","90038",4587,0.181851735862563,0.126773476666667,45.77,12.22,12.00979423,0.04939042,53.3,0.05,0.189362777043791,1,1
"06037480703","91030",3612,0.396211127018214,0.260529926666667,23.57,7.75,11.51304733,0.05462941,9.3,0.05,0.440079291074429,1,1
"06037430101","91010",5382,0.0808167800047721,0.028104283333333,51.82,11.44,11.80206026,0.06236471,36.1,0.053,0.766878103100636,1,1
"06037480011","91775",5466,0.845096511373578,0.694424466666667,17.77,8.55,11.70184498,0.05938691,33.2,0.051,0.434737242098768,1,1
"06037400206","91711",5365,0.568795111548556,0.223292353333333,32.39,11.94,12.88984549,0.06350576,8.7,0.06,1.43240317501303,1,1
"06037400302","91750",3154,0.687224732561839,0.518690613333333,33.36,11.25,12.43020498,0.06133785,19.6,0.06,0.502443407112784,1,1
"06037481202","91776",6188,0.842328302712161,0.345410306666667,40.13,10.92,11.73873693,0.05679963,30.3,0.05,0.613492296626798,1,1
"06037502602","90660",4477,0.959417004692595,0.585078696666667,60.9,21.31,12.14502544,0.04791979,32.6,0.046,0.487786161300177,1,1
"06037502601","90660",6939,0.571786392467987,0.316319646666667,60.9,21.31,12.15287635,0.04791979,19.4,0.046,0.744452137728153,1,1
"06037530003","90640",3080,0.525510394297304,0.403556953333333,53.02,16.41,12.00891284,0.05219839,17.1,0.046,1.37410900382473,1,1
"06037117303","91343",3754,1.14276624512845,0.959876036666667,80.2,14.57,12.28930733,0.06464682,21.6,0.057,0.694840358672535,1,1
"06037503000","90605",5606,1.28889348703571,0.752092306666667,58.17,22.83,11.92700646,0.04791979,41.3,0.046,0.512876184504955,1,1
"06037115301","91324",4524,1.22129886463056,0.893015686666667,77.33,20.88,11.9625185,0.06464682,21,0.06,0.634957665855848,1,1
"06037503201","90604",4144,1.02407067724489,0.60058243,54.86,20.75,11.94497052,0.04863521,16.4,0.046,0.517440691957462,1,1
"06037503302","90604",6784,0.329178224170842,0.253917783333333,36.74,14.09,11.9353244,0.04939042,31.5,0.046,0.597481866053818,1,1
"06037540600","90059",4981,0.268659776902887,0.19197299,66.54,13.36,12.10051881,0.0438112,65.8,0.044,0.366307784368168,1,1
"06037542501","90220",4891,0.410964964606697,0.38659667,122.52,19.17,12.13477891,0.04259906,50.1,0.044,0.22459478689074,1,1
"06037543000","90220",4531,0.452353256979241,0.337329626666667,118.7,18.6,12.11120264,0.04259906,33.2,0.044,0.507818191443358,1,1
"06037543503","90502",5696,0.90759713274477,0.636947746666667,58.78,13.1,12.00487891,0.04050375,21.8,0.042,0.649949491702493,1,1
"06037543202","90220",5124,0.659655114133461,0.448774156666667,114.33,18.18,12.21666021,0.04192559,56.8,0.042,1.19373767783822,1,1
"06037543400","90746",3731,0.702251352103714,0.255634446666667,89.55,15.95,12.09359584,0.04125212,27.9,0.042,1.20158830167371,1,1
"06037543304","90746",5872,0.795703715302633,0.565118266666667,89.45,15.75,12.14632002,0.04125212,21.3,0.042,0.62417364359638,1,1
