"outcome","n","per_mile","lo","hi","p_zip","p_hc1","per_iqr","r2","unweighted_per_mile","unweighted_p_zip","unweighted_r2"
"asthma",2305,2.32865180941313,-7.3480338483555,12.0053374671818,0.636072082528572,0.228502332591294,0.874423698608087,0.00110348948208948,1.44883341438722,0.736878941526045,0.000549822394714737
"ami",2305,-0.171284207325717,-1.35170390676086,1.00913549210943,0.775364177837769,0.507143156783534,-0.0643183190709197,0.000212707130864546,-0.199982145659563,0.704311359099478,0.000367702482825987
"pm25",2305,-1.06709569782129,-1.47972695134771,-0.654464444294863,0.000000658118332369919,7.62845019661973e-29,-0.400701282641661,0.186234831843009,-0.93913764425469,3.93063933324526e-11,0.194349133643524
"ozone",2305,0.00795339420868876,0.00631349787339371,0.00959329054398381,7.23803059526462e-19,5.25710542500493e-34,0.00298655056644234,0.154867234387697,0.00639247217971124,4.98592920320128e-14,0.129017697411595
"poverty",2305,-5.54904220118058,-9.17863764072499,-1.91944676163618,0.00285632405703291,8.46992396078339e-09,-2.0837009576419,0.0155623593797995,-4.79582721826424,0.00292321400353253,0.0140979060080378
