"variable","n_within","mean_within","sd_within","median_within","q1_within","q3_within","n_beyond","mean_beyond","sd_beyond","median_beyond","q1_beyond","q3_beyond","smd","wilcoxon_p"
"Mean street-network distance to three nearest parks (miles)",2262,0.69056952122197,0.334145564161021,0.633862617314881,0.470306534836554,0.832802216306769,43,2.42070725567338,1.56081320923536,1.86682089099658,1.5183062166945,2.7220637725682,-1.53289979178301,2.06260456341975e-25
"Mean straight-line distance to three nearest parks, from tract centroid (miles)",2262,0.470304929307398,0.216705344846528,0.440265041666666,0.308497185,0.5838881625,43,1.99065388736434,1.03697906226667,1.68983784,1.37144944166667,1.950842065,-2.02958084156153,2.34706096159412e-29
"Asthma ED visit rate (per 10,000)",2262,53.95891688771,27.8271098795532,50.06,32.6625,69.2975,43,68.1055813953488,42.9357534608299,57.76,37.285,83.53,-0.391019650554016,0.096530528165845
"AMI ED visit rate (per 10,000)",2262,14.0298541114058,4.76276878485051,13.36,10.41,17.3775,43,14.7123255813953,4.91873814500141,13.9,10.71,17.36,-0.140966262838987,0.388268896113264
"PM2.5 (ug/m3)",2262,11.7276266834744,0.822882529229949,11.91523154,11.64728179,12.07744303,43,8.3736632235814,2.05581256457476,7.519026611,6.9196353855,9.453904736,2.14200358044736,2.22044604925031e-16
"Ozone (ppm)",2262,0.0514737787267905,0.00806184962794336,0.04939042,0.04490202,0.05846283,43,0.0618234174418605,0.00463420332513845,0.06236471,0.06236471,0.06350576,-1.57401663063155,2.56828171521052e-15
"Residents below twice the federal poverty level (%)",2262,35.1783819628647,18.5261004173341,33.1,19.1,49.7,43,32.5837209302326,14.2752688279675,33.1,20.6,40.9,0.15689246432069,0.514298549099388
"Tract population",2262,4356.14279398762,1476.27923326139,4250,3255.25,5316.25,43,4418.72093023256,2691.2252239417,4080,2391.5,6016.5,-0.0288312794544043,0.999630894473785
"Population density (per sq mi)",2262,13793.3932356505,11263.0419300657,10851.2134412083,6671.29050424138,17901.4443847704,43,2336.47082268732,3703.28412511476,566.100121729371,118.253238430652,2700.5673192375,1.36658291884144,0
