"variable","within_zip_share_unweighted","within_zip_share_weighted"
"asthma",0.0945645684435198,0.085750008037457
"ami",0.170822638202666,0.15914473840169
"dist",0.538937954133131,0.492218698989069
"pm25",0.0277013685116193,0.0235479223104582
"ozone",0.00732661176301109,0.00675825665845933
"poverty",0.34125610382762,0.324633621017023
