"id","label","outcome","n","scale","ols_est","ols_lo","ols_hi","ols_p","r2","partial_r2","std_beta","sem_est","sem_lo","sem_hi","sem_p","lambda","pov_ols","pov_ols_p","pov_sem","pov_sem_p","note"
"S0","Primary analysis (population-weighted)","asthma",2305,0.375506417521673,1.63668822427948,-0.137301150404834,3.4106775989638,0.070420455096709,0.333345029735821,0.00432283910579095,0.0621767671579475,-1.01301536575848,-1.61408465116814,-0.411946080348834,0.00095555267323356,0.89925646822431,0.875325098593569,3.59580160728363e-26,0.146442597061623,2.14572448697936e-09,""
"S0","Primary analysis (population-weighted)","ami",2305,0.375506417521673,0.343831769514216,0.0599478909226544,0.627715648105778,0.0177858488665884,0.287342635540586,0.00634533787958006,0.0779654771843163,-0.124076016153497,-0.250181675900485,0.00202964359349048,0.0537986533438325,0.835057641024101,0.135369381160577,2.17326201858956e-22,0.0318265802157562,2.14331219439146e-10,""
"S24","Straight-line measure: distance from geographic centroid to three nearest parks","asthma",2305,0.279392656666666,2.40103990893446,0.414470518315705,4.38760929955321,0.018023388445646,0.337372544477622,0.0103381013065459,0.0938214746729319,-1.28203447332559,-1.87400444111653,-0.690064505534656,0.0000218799273981746,0.900500233181273,0.863363058162401,7.98414367663355e-26,0.145874413918856,2.25928675767761e-09,""
"S24","Straight-line measure: distance from geographic centroid to three nearest parks","ami",2305,0.279392656666666,0.403391042684955,0.0967075875473063,0.710074497822603,0.0101241625244909,0.289752607021427,0.00970554927560081,0.0940856275193387,-0.14531165266923,-0.269179552891191,-0.0214437524472687,0.02148727936572,0.836086293409359,0.133174944150314,1.32724936616341e-21,0.0318018576598858,2.10967465719136e-10,""
"S1","As originally submitted: straight-line measure, all 2,343 tracts, missing values coded 0, unweighted","asthma",2343,0.279392656666666,1.37681159715373,0.247359098697765,2.5062640956097,0.0170666024980798,0.315799579574063,0.00575746545542853,0.0701143471413053,-1.29313084988246,-1.76459719279684,-0.821664506968089,0.0000000762185271233501,0.889182666536103,0.819373394012385,2.49911072875302e-25,0.184855562014136,3.77475828372553e-15,""
"S1","As originally submitted: straight-line measure, all 2,343 tracts, missing values coded 0, unweighted","ami",2343,0.279392656666666,0.215239602380562,0.032761800655557,0.397717404105568,0.0209558122005444,0.269367306904842,0.00453131469440494,0.0642382330358481,-0.175245376095459,-0.275609606630702,-0.0748811455602162,0.00062083678132528,0.817365069451606,0.128913718917323,1.22178506703618e-21,0.0445479023544882,0,""
"S2","As originally submitted: straight-line measure, <=1.25 mi (n = 2,291), missing values coded 0, unweighted","asthma",2291,0.279392656666666,3.8690854480635,1.86057234664998,5.87759854947702,0.000183370323306937,0.315824226572944,0.0149999114901137,0.107993452086209,-0.761778097530338,-1.64038474065571,0.116828545595029,0.0892479263228189,0.887850469907554,0.807332673120729,5.9921758078978e-27,0.165383866380021,1.64002145197628e-12,""
"S2","As originally submitted: straight-line measure, <=1.25 mi (n = 2,291), missing values coded 0, unweighted","ami",2291,0.279392656666666,0.596621314713225,0.248224280633348,0.945018348793103,0.000855175480877507,0.271988079533294,0.0112624988605576,0.0963459551506804,-0.167603999397746,-0.358091523811061,0.02288352501557,0.0846099466237639,0.816946147420956,0.127685913876482,2.92428365761587e-21,0.0423406837411859,0,""
"S23","As originally submitted: straight-line measure, <=1.0 mi (n = 2,237), missing values coded 0, unweighted","asthma",2237,0.279392656666666,3.90817429182111,1.66911667403608,6.14723190960613,0.000681445305644513,0.317297627223298,0.0130875645639617,0.0995209553791629,-0.63679418331704,-1.56804288427397,0.294454517639889,0.180160406876817,0.886945443477962,0.809980064482738,6.43873982399803e-27,0.202879227471839,0,""
"S23","As originally submitted: straight-line measure, <=1.0 mi (n = 2,237), missing values coded 0, unweighted","ami",2237,0.279392656666666,0.582567778235282,0.191285543906635,0.973850012563929,0.00366273432977285,0.277018763688749,0.00911945275550838,0.0853190425361439,-0.104876118960058,-0.305253227299433,0.0955009893793168,0.304961501910864,0.811649137341912,0.12888636147198,4.12935794922327e-21,0.0480382517638613,0,""
"S3","Primary sample, unweighted","asthma",2305,0.375506417521673,0.913332046238386,-0.730471055913655,2.55713514839043,0.275007309315258,0.305470625751785,0.00169107664122628,0.0393644412595921,-0.434092253465911,-0.963441605126311,0.0952570981944902,0.10798956680632,0.89323019539315,0.819050053134514,1.52499753504152e-24,0.130569899649435,0.0000000657092178446561,""
"S3","Primary sample, unweighted","ami",2305,0.375506417521673,0.218337759498043,-0.0156904135930307,0.452365932589117,0.0673434322091308,0.258798989284562,0.00317395841229357,0.0557530387750533,-0.0614030691870814,-0.171332058033577,0.0485259196594145,0.273605228644548,0.834107618414548,0.126839808028834,3.66593209970023e-20,0.0298344327853845,1.34562494480406e-09,""
