"model","n_zcta","iqr_miles","estimate","lo","hi","p","scale","resid_moran"
"NB + offset",259,0.291664500536917,1.08977514271544,1.02538852002912,1.1582047570093,0.00565913759054427,"rate ratio per IQR",0.33134086354476
"NB + offset + MRF",259,0.291664500536917,0.985829671823035,0.930065335459223,1.04493749502754,0.630950198359251,"rate ratio per IQR",NA
"WLS on unsmoothed age-adjusted rate",259,0.291664500536917,4.1768948906533,0.701618990295832,7.65217079101078,0.0186864856312096,"rate difference per IQR",NA
