"outcome","term","est_per_unit","lo","hi","p","est_per_iqr"
"asthma","dist_w",-0.782692689128241,-2.19587783188176,0.630492453625281,0.276537158049174,-0.29390612771495
"asthma","dist_b",12.34392940054,0.587511585750741,24.1003472153293,0.0396684204365301,4.63522470733724
"asthma","pm25_w",4.031887710984,1.39690074187966,6.66687468008833,0.00283305379514218,NA
"asthma","pm25_b",-5.15747706736384,-9.84506176399225,-0.469892370735431,0.0311717387205833,NA
"ami","dist_w",-0.226972243421814,-0.521174300144046,0.0672298133004174,0.129976223893129,-0.0852295340041826
"ami","dist_b",2.80241988918223,0.900338166768562,4.7045016115959,0.00402547948358815,1.0523266529783
"ami","pm25_w",0.889293343518598,0.227647326854465,1.55093936018273,0.00861311274132431,NA
"ami","pm25_b",-0.187967197043391,-0.756457210640408,0.380522816553627,0.515660385472662,NA
