"outcome","n","iqr_miles","ols_per_iqr","ols_lo","ols_hi","ols_p_zip","ols_p_hc1","ols_r2","ols_partial_r2","ols_std_beta","ols_resid_moran","ols_resid_moran_p","sem_per_iqr","sem_lo","sem_hi","sem_p","sem_lambda","sem_lr_p","sem_resid_moran","hausman_p","unw_ols_per_iqr","unw_ols_p","unw_sem_per_iqr","unw_sem_p"
"asthma",2305,0.375506417521673,1.63668822427948,-0.137301150404834,3.4106775989638,0.070420455096709,0.00602340216725126,0.333345029735821,0.00432283910579095,0.0621767671579475,0.652346592355874,0,-1.01301536575848,-1.61408465116814,-0.411946080348834,0.00095555267323356,0.89925646822431,0,-0.0949148273340821,4.18509671362699e-12,0.913332046238386,0.275007309315258,-0.434092253465911,0.10798956680632
"ami",2305,0.375506417521673,0.343831769514216,0.0599478909226544,0.627715648105778,0.0177858488665884,0.000313001147782863,0.287342635540586,0.00634533787958006,0.0779654771843163,0.596212554049571,0,-0.124076016153497,-0.250181675900485,0.00202964359349048,0.0537986533438325,0.835057641024101,0,-0.0912466641412218,9.54247791895568e-12,0.218337759498043,0.0673434322091308,-0.0614030691870814,0.273605228644548
