"outcome","term","unit","ols_est","ols_lo","ols_hi","ols_p","sem_est","sem_lo","sem_hi","sem_p"
"asthma","(Intercept)","per unit",104.895960778258,36.5328744583629,173.259047098153,0.00275823372238167,57.0169314798339,6.52499976570907,107.508863193959,0.0268777975764294
"asthma","dist","per mile",4.3586158529102,-0.365642620200783,9.08287432602119,0.070420455096709,-2.69773116647205,-4.29842094795884,-1.09704138498527,0.00095555267323356
"asthma","pm25","per unit",-5.49240753894721,-10.699024992701,-0.285790085193386,0.0387583260877177,0.52566287111928,-2.71979721299199,3.77112295523055,0.750895645447704
"asthma","ozone","per 0.01 ppm",-3.81431186175384,-7.45883633888854,-0.169787384619139,0.0403059425306296,-1.86687799753716,-7.05487760567701,3.32112161060268,0.480625389186356
"asthma","poverty","per unit",0.875325098593569,0.728748107359112,1.02190208982802,3.59580160728363e-26,0.146442597061623,0.0984957840473261,0.19438941007592,2.14572442620964e-09
"ami","(Intercept)","per unit",17.1654703822424,8.51241770808639,25.8185230563984,0.000118307031731264,15.0800642123757,7.11901054552265,23.0411178792288,0.000205067851664999
"ami","dist","per mile",0.915648184612906,0.159645449785674,1.67165091944014,0.0177858488665884,-0.330423157538542,-0.666251398715563,0.00540508363847958,0.0537986533438325
"ami","pm25","per unit",-0.332718996108569,-0.936972769626729,0.271534777409592,0.279335103685198,0.180836252424857,-0.340294402700883,0.701966907550596,0.496419158929118
"ami","ozone","per 0.01 ppm",-0.868566267854647,-1.41585517303807,-0.321277362671226,0.00197182526836586,-0.685562938193988,-1.40801211676403,0.0368862403760585,0.0628957322469099
"ami","poverty","per unit",0.135369381160577,0.110313856123539,0.160424906197614,2.17326201858956e-22,0.0318265802157562,0.0220040324239001,0.0416491280076123,2.14331250372923e-10
