"GEOID","net3_popcentroid","net1_popcentroid","walk3_popcentroid_min","walk1_popcentroid_min","net3_popcentroid_open","net3_popcentroid_merged","net3_popcentroid_pna2016","net_snap_m","net_component","net3_parks"
"06037920336",0.574389937763461,0.323352247872425,11.4877987552692,6.4670449574485,0.574389937763461,0.574389937763461,0.562183100691959,22.3565542805338,1,"740 1428 1396"
"06037920044",1.09586763302314,0.990284861409369,21.9173526604629,19.8056972281874,1.09586763302314,1.09586763302314,0.73093943867812,30.3716771452413,1,"34 187 785"
"06037573003",0.231559567127973,0.163695269625388,4.63119134255945,3.27390539250775,0.231559567127973,0.231559567127973,0.231559567127973,11.6219384121897,1,"296 1220 1212"
"06037571704",0.32731970293486,0.264928442893502,6.54639405869721,5.29856885787004,0.334036725522946,0.32731970293486,0.355498886502824,22.344958348924,1,"134 1188 1666"
"06037570403",0.697397821721149,0.475558985524537,13.947956434423,9.51117971049073,0.697397821721149,0.697397821721149,0.86377990038177,25.0063074678667,1,"1887 277 959"
"06037553503",0.457273895450569,0.0140274546647578,9.14547790901137,0.280549093295156,0.457273895450569,0.457273895450569,0.457273895450569,18.4776351875197,1,"102 433 810"
"06037552302",0.518551658315438,0.0763348295951642,10.3710331663088,1.52669659190328,0.835990937922532,0.518551658315438,0.4974144744691,14.8074867275022,1,"1890 533 748"
"06037503104",1.19895187107293,0.765029105026644,23.9790374214587,15.3005821005329,1.2759751799491,1.19895187107293,1.19894255050505,37.0421215392237,1,"113 405 1793"
"06037550602",1.17321032669212,0.846305699713672,23.4642065338424,16.9261139942734,1.18715700310188,1.17321032669212,1.06441506601448,22.5515059979508,1,"314 407 1992"
"06037550601",1.24338612502983,0.724157793486042,24.8677225005965,14.4831558697208,1.24338612502983,1.24338612502983,1.24338612502983,8.28083375598267,1,"314 877 1041"
"06037550202",0.652026540006363,0.37666651753758,13.0405308001273,7.53333035075161,0.652026540006363,0.652026540006363,0.645388431559691,4.75051410788833,1,"1591 1059 572"
"06037550201",0.760709953869403,0.378625700906705,15.2141990773881,7.5725140181341,0.760709953869403,0.760709953869403,0.555914708104669,5.78926930956731,1,"611 570 478"
"06037544002",0.905981567644954,0.626189925833134,18.1196313528991,12.5237985166627,0.905981567644954,0.905981567644954,0.970268631193828,35.9896018772319,1,"324 989 1980"
"06037544001",0.866931495068798,0.279072093971208,17.338629901376,5.58144187942416,0.866931495068798,0.866931495068798,0.995532962499006,25.9511588657199,1,"324 989 1980"
"06037543905",1.22512278294759,0.754554029467907,24.5024556589517,15.0910805893581,1.22512278294759,1.22512278294759,1.20441061699674,11.5635226037965,1,"2039 530 230"
"06037139504",1.22008408394973,1.15570443609322,24.4016816789947,23.1140887218643,1.22008408394973,1.28895438141255,1.2249693042631,1.90151597552933,1,"933 140 2185"
"06037139503",1.37021917004693,1.21526100075559,27.4043834009385,24.3052200151117,1.37021917004693,1.37021917004693,1.37495153304701,15.4718058924042,1,"2287 2128 2185"
"06037139401",0.838310516583154,0.252625914658395,16.7662103316631,5.0525182931679,0.838310516583154,0.838310516583154,0.83691802374135,50.8409331375465,1,"2287 2390 2339"
"06037137103",0.610771221068957,0.247404532530025,12.2154244213791,4.94809065060049,0.610771221068957,0.610771221068957,0.610778056152072,5.9910227095671,1,"2432 2152 2456"
"06037134905",1.31680796647578,1.05868105265251,26.3361593295156,21.1736210530502,1.31680796647578,1.31680796647578,1.31680796647578,168.003297873724,1,"2238 2432 2152"
"06037134522",1.16156272369363,0.802087682931679,23.2312544738726,16.0417536586336,1.16156272369363,1.16156272369363,0.701176379941144,31.3358472284389,1,"2253 2238 2369"
"06037301206",0.613024934383202,0.466753534359341,12.260498687664,9.33507068718683,0.613024934383202,0.613024934383202,0.613024934383202,17.5553858322267,1,"398 1315 804"
"06037301205",0.770220039966595,0.615783822476736,15.4044007993319,12.3156764495347,0.770220039966595,0.770220039966595,0.769977705201623,24.9822776195644,1,"1315 804 1317"
"06037300301",0.400476218881731,0.148932732840213,8.00952437763461,2.97865465680426,0.400476218881731,0.400476218881731,0.400476218881731,6.75568359666755,1,"336 1326 738"
"06037501002",0.350522945995387,0.264257362005886,7.01045891990774,5.28514724011771,0.504598768193748,0.350522945995387,0.350667104111986,40.4988575320137,1,"1868 1799 694"
"06037501001",0.300911427264774,0.0295698122961903,6.01822854529547,0.591396245923805,0.495004175614412,0.300911427264774,0.300664121530263,32.0691229413885,1,"1823 1615 1130"
"06037500404",0.475549664956653,0.402255825976298,9.51099329913306,8.04511651952597,0.591309253956892,0.475549664956653,0.475549664956653,6.08086537585849,1,"1090 1889 817"
"06037481606",0.865952214069832,0.44977270241788,17.3190442813966,8.99545404835759,0.867538574723614,0.865952214069832,0.777414275630319,6.82725115840474,1,"719 1597 1977"
"06037500403",0.229746405989024,0.131088194941541,4.59492811978048,2.62176389883083,0.415615927980593,0.305920300445399,0.229746405989024,18.6841614693867,1,"912 755 1090"
"06037433101",0.71741405193669,0.428598236300008,14.3482810387338,8.57196472600016,0.71741405193669,0.71741405193669,0.71351743319017,1.53721758654764,1,"381 1491 871"
"06037911001",1.31903620357114,0,26.3807240714229,0,1.31944195895968,1.31903620357114,1.31903620357114,77.5072064364816,1,"1165 1166 1182"
"06037910813",2.23859845999364,0.720762621291657,44.7719691998727,14.4152524258331,2.23859845999364,6.25487030740476,2.23859535313768,79.1531288971435,1,"65 1909 177"
"06037910716",1.82267308915931,1.69231997633819,36.4534617831862,33.8463995267637,1.82267308915931,1.82267308915931,1.82267308915931,27.1415316152342,1,"777 1381 536"
"06037910715",0.93164544062674,0.717046821562077,18.6329088125348,14.3409364312416,0.93164544062674,0.93164544062674,0.93164544062674,29.6928358275105,1,"536 777 1381"
"06037910714",0.469829321760916,0.285110579217371,9.39658643521832,5.70221158434741,0.469829321760916,0.469829321760916,0.847950469259524,30.2421744290224,1,"1363 2495 323"
"06037910711",1.63026239262706,1.59522451383918,32.6052478525412,31.9044902767836,1.63026239262706,1.63026239262706,1.63026239262706,37.7455697732572,1,"323 777 1378"
"06037910606",1.00721598365545,0.385399889644476,20.144319673109,7.70799779288953,1.00721598365545,1.00721598365545,1.00721598365545,13.15114267571,1,"777 536 1378"
"06037910605",1.12913522528434,0.77348472421061,22.5827045056868,15.4696944842122,1.12913522528434,1.12913522528434,1.12913522528434,1.55105285294253,1,"1378 777 536"
"06037135114",0.850293660025451,0.547564100652191,17.005873200509,10.9512820130438,0.850293660025451,0.850293660025451,0.850300495108566,53.8152852194311,1,"2432 2456 2369"
"06037135113",0.729628345462499,0.317597729261115,14.59256690925,6.3519545852223,0.729628345462499,0.729628345462499,0.729634559174421,10.4676334553574,1,"2456 2432 2369"
"06037134903",1.38793011313927,0.544548586256263,27.7586022627853,10.8909717251253,1.38793011313927,1.38793011313927,1.28193537242504,41.8157612416154,1,"2238 2369 2432"
"06037134521",1.060803035274,0.67389694185954,21.21606070548,13.4779388371908,1.060803035274,1.060803035274,0.83867588284419,11.9846637594893,1,"2238 2253 2355"
"06037131701",1.30594515529309,1.08481530362682,26.1189031058618,21.6963060725364,1.30594515529309,1.30594515529309,1.26248645410801,29.1720225564988,1,"2355 2255 1708"
"06037128801",0.401899780283146,0.269460724369681,8.03799560566293,5.38921448739362,0.40532229280999,0.401899780283146,0.404308836395451,35.1787665133466,1,"2279 2371 63"
"06037127712",1.36631012387656,1.30656341962936,27.3262024775312,26.1312683925873,1.44960741768074,1.36631012387656,1.36631074524775,37.7213403589542,1,"2000 2163 1193"
"06037127606",0.684730548596198,0.616929009584029,13.694610971924,12.3385801916806,0.889771857353058,0.684730548596198,0.684730548596198,11.8507681521859,1,"2000 569 2001"
"06037127604",1.03936013680108,0.756664206036745,20.7872027360216,15.1332841207349,1.34953434442854,1.03936013680108,1.03936013680108,11.3027425051316,1,"2000 569 2001"
"06037124903",0.949757168138074,0.775808031098385,18.9951433627615,15.5161606219677,1.12614021613776,0.949757168138074,1.12564995426708,36.4880189361227,1,"1805 2403 2301"
"06037124204",0.7210633649487,0.651276544977332,14.421267298974,13.0255308995466,0.7210633649487,0.7210633649487,0.724728212240515,3.47133839584606,1,"2395 2301 2446"
"06037124203",0.60050430485962,0.383868831026803,12.0100860971924,7.67737662053607,0.60050430485962,0.60050430485962,0.596523801002147,0.270737268079298,1,"2395 2446 2425"
"06037124105",0.732472982780561,0.288205007754712,14.6494596556112,5.76410015509425,0.732472982780561,0.732472982780561,0.731738522031337,46.748734112662,1,"2395 2408 2425"
"06037124103",0.834933364153344,0.742665955818023,16.6986672830669,14.8533191163605,0.834933364153344,0.834933364153344,0.834203253002466,9.40038200863908,1,"2425 2395 2408"
"06037122121",1.2501603137676,0.353137054601129,25.0032062753519,7.06274109202259,1.2501603137676,1.2501603137676,1.25015782828283,57.9265218045746,1,"2385 2158 2418"
"06037121222",0.735347445915851,0.323525610435059,14.706948918317,6.47051220870118,0.735347445915851,0.735347445915851,0.990990739083751,14.4512944341327,1,"2092 2373 378"
"06037121221",0.629304238248628,0.433609594965402,12.5860847649726,8.67219189930804,0.629304238248628,0.629304238248628,0.629304238248628,8.73522854570107,1,"378 1139 2373"
"06037121101",0.974584054123916,0.586340769903762,19.4916810824783,11.7268153980752,0.974584054123916,0.974584054123916,0.974581568639147,20.4650613856209,1,"2385 2418 2158"
"06037120108",0.468493373697606,0.153866420106578,9.36986747395212,3.07732840213155,0.468493373697606,0.468493373697606,0.455232069712877,5.2570605048442,1,"2367 2398 2300"
"06037481605",0.820225508033087,0.662052364193112,16.4045101606617,13.2410472838622,0.820225508033087,0.820225508033087,0.667425982263581,1.09813195721959,1,"1597 719 148"
"06037124902",0.916543013799411,0.752336355682812,18.3308602759882,15.0467271136562,1.0914770241788,0.916543013799411,1.0874586166786,15.5112806646015,1,"1805 2403 2301"
"06037124104",0.757621739043983,0.573315586972083,15.1524347808797,11.4663117394417,0.757621739043983,0.757621739043983,0.756887278294759,1.55366955467793,1,"2395 2425 2408"
"06037123902",0.633883743935417,0.564776082677165,12.6776748787083,11.2955216535433,0.798942301956574,0.633883743935417,0.795647170524139,24.5994021286325,1,"2408 1805 2301"
"06037121102",1.46010299848883,1.14469498130915,29.2020599697765,22.8938996261831,1.73043426389883,1.46010299848883,1.46009927026167,82.8726756345201,1,"1182 2385 2379"
"06037106645",0.69853679511652,0.0194439473474907,13.9707359023304,0.388878946949813,1.10177500894775,0.796670568877754,0.796670568877754,25.1436523251269,1,"1938 1939 2411"
"06037104204",0.858108024139028,0.240056818181818,17.1621604827806,4.80113636363636,0.858108024139028,0.858108024139028,0.718747514515231,103.748022697376,1,"2230 1702 1893"
"06037297602",0.290660045335242,0.180459864391951,5.81320090670484,3.60919728783902,0.290660045335242,0.290660045335242,0.290660666706434,37.0100282987411,1,"2101 2272 462"
"06037297601",0.198408171279726,0.0655378837588483,3.96816342559453,1.31075767517697,0.198408171279726,0.203037386661895,0.198667283066889,4.91067237096138,1,"205 2272 2330"
"06037910505",1.14518213632387,0.531635250139187,22.9036427264774,10.6327050027837,1.18250169012964,1.14518213632387,1.14518213632387,11.5099535259364,1,"1381 1775 696"
"06037910504",0.911375069593573,0.874089691203372,18.2275013918715,17.4817938240674,0.989327328402131,0.952837926509186,0.911375069593573,5.38280285654459,1,"1775 696 1382"
"06037910002",1.32696738546886,0.351717842798059,26.5393477093772,7.03435685596119,1.32696738546886,1.32696738546886,1.32696738546886,66.5903840627717,1,"1454 374 517"
"06037901011",1.13656868885707,0.940222848564384,22.7313737771415,18.8044569712877,1.13656868885707,1.13656868885707,1.13634561659906,0.36560599472912,1,"836 856 1748"
"06037901010",0.798842261194623,0.0717354400302235,15.9768452238925,1.43470880060447,0.798842261194623,0.798842261194623,0.798731657122405,1.72685760052459,1,"836 856 1170"
"06037901009",1.82497340531297,1.4865118955301,36.4994681062594,29.7302379106021,1.82497340531297,1.82497340531297,1.82474536208542,8.90094346852228,1,"856 836 1748"
"06037900609",1.55904144794401,1.44357825300247,31.1808289588801,28.8715650600493,1.55904144794401,1.55904144794401,1.5646132834248,14.7084142041635,1,"1003 315 347"
"06037502802",0.506252858307484,0.0722909458760837,10.1250571661497,1.44581891752167,0.506252858307484,0.506252858307484,0.506252858307484,2.58269053990298,1,"611 570 478"
