"ZCTA5","GEOID","POPPT","ZPOP","ZPOPPCT"
"90042","06037186203",1547,62430,2.48
"90042","06037199300",36,62430,0.06
"90042","06037201302",3688,62430,5.91
"90043","06037234501",2578,44789,5.76
"90043","06037234502",2557,44789,5.71
"90043","06037234600",5024,44789,11.22
"90043","06037234700",3817,44789,8.52
"90043","06037234800",3327,44789,7.43
"90043","06037234901",2999,44789,6.7
"90043","06037234902",4005,44789,8.94
"90043","06037235100",4520,44789,10.09
"90043","06037235201",2635,44789,5.88
"90043","06037235202",4557,44789,10.17
"90043","06037703100",4486,44789,10.02
"90043","06037703200",4284,44789,9.56
"90044","06037237101",3705,89779,4.13
"90044","06037237102",2624,89779,2.92
"90044","06037237201",2279,89779,2.54
"90044","06037237401",3616,89779,4.03
"90044","06037237402",1392,89779,1.55
"90044","06037237500",2675,89779,2.98
"90044","06037237600",3425,89779,3.81
"90044","06037237710",3553,89779,3.96
"90044","06037237720",2604,89779,2.9
"90044","06037237800",3222,89779,3.59
"90044","06037238200",3306,89779,3.68
"90044","06037238310",4417,89779,4.92
"90044","06037238320",3527,89779,3.93
"90044","06037240300",4968,89779,5.53
"90044","06037240401",4686,89779,5.22
"90044","06037240402",2920,89779,3.25
"90044","06037241201",2250,89779,2.51
"90044","06037241202",3440,89779,3.83
"90044","06037241300",1312,89779,1.46
"90044","06037291110",2954,89779,3.29
"90044","06037600100",6657,89779,7.41
"90044","06037600201",3909,89779,4.35
"90044","06037600202",3511,89779,3.91
"90044","06037600303",3664,89779,4.08
"90044","06037600304",3424,89779,3.81
"90044","06037602801",3543,89779,3.95
"90044","06037602802",2196,89779,2.45
"90045","06037276000",5396,39480,13.67
"90045","06037276100",4909,39480,12.43
"90045","06037276400",4009,39480,10.15
"90045","06037276500",5063,39480,12.82
"90045","06037276601",1717,39480,4.35
"90045","06037276604",2382,39480,6.03
"90045","06037277000",5395,39480,13.67
"90045","06037277100",3004,39480,7.61
"90045","06037277200",2490,39480,6.31
"90045","06037277400",1533,39480,3.88
"90045","06037278001",2458,39480,6.23
"90045","06037601302",0,39480,0
"90045","06037602200",1120,39480,2.84
"90045","06037703002",0,39480,0
"90045","06037980028",4,39480,0.01
"90046","06037143700",173,48581,0.36
"90046","06037143901",51,48581,0.1
"90046","06037189800",4021,48581,8.28
"90046","06037189902",4971,48581,10.23
"90046","06037189903",2164,48581,4.45
"90046","06037189904",2164,48581,4.45
"90046","06037189905",2304,48581,4.74
"90046","06037192001",1864,48581,3.84
"90046","06037192002",1399,48581,2.88
"90046","06037194101",2758,48581,5.68
"90046","06037194102",3458,48581,7.12
"90046","06037194200",1914,48581,3.94
"90046","06037194300",1048,48581,2.16
"90046","06037194401",1506,48581,3.1
"90046","06037194402",364,48581,0.75
"90046","06037261101",1666,48581,3.43
"90046","06037700101",5230,48581,10.77
"90046","06037700102",4059,48581,8.36
"90046","06037700200",6321,48581,13.01
"90046","06037700300",1146,48581,2.36
"90047","06037232500",55,48606,0.11
"90047","06037234700",71,48606,0.15
"90047","06037234800",99,48606,0.2
"90047","06037235201",146,48606,0.3
"90047","06037237201",1227,48606,2.52
