"GEOID","population","asthma","ami","poverty","pm25","ozone","child_10","elderly_65"
"06037540400",2109,122.71,25.25,55.9,12.0701055,0.0438112,11.81,4.79
"06037296210",3132,103.61,14.57,56,11.70137136,0.03809217,19.32,8.3
"06037534302",3720,46.98,20.41,57.9,12.03778507,0.04588368,14.22,6.24
"06037120020",3872,93.94,20.82,62.7,11.81424877,0.06464682,12.45,9.94
"06037434004",3039,65.92,16.69,48.3,12.03688662,0.05462941,11.62,8.65
"06037205110",3904,76.1,20.87,60.8,12.25398221,0.04756207,18.8,4.15
"06037122410",3457,79.39,21.48,59.9,11.52566258,0.06236471,11.74,9.34
"06037532304",4013,50.87,17.86,45.6,12.14921007,0.04753555,8.1,11.64
"06037208000",7508,41.43,10.45,59.6,12.53587816,0.04791979,11.77,5.99
"06037575401",4788,127.96,27.86,72.1,11.69108081,0.03975537,19.97,4.59
"06037572301",3841,79.55,21.11,51.2,11.72604257,0.04050375,16.06,6.3
"06037239310",4501,113.88,27.88,68.1,12.13275518,0.04435661,23.82,4.58
"06037228900",2918,80.43,19.67,77.8,12.16800708,0.04588368,18.92,5.45
"06037219901",4150,99.57,16.87,50.1,11.94583615,0.04588368,13.18,7.59
"06037570502",6588,94.42,20.48,38.8,12.07851936,0.04259906,14.6,7.67
"06037570203",4165,68.25,15.3,66.2,12.07684795,0.04320513,19.88,6.12
"06037533002",2705,80.16,24.73,67.6,12.136112,0.04539285,21.26,7.13
"06037228100",5505,69.35,21,60.3,12.15734144,0.04632538,18.44,5.79
"06037532603",3289,60.74,24.24,59.9,12.14111892,0.04588368,20.86,6.17
"06037117408",3073,86.23,15.46,69.8,12.06000567,0.06464682,22.36,4.75
"06037204700",5510,70.82,19.23,39.2,12.30827709,0.04791979,16.64,12.38
"06037302401",7395,65.09,19.32,53.8,11.87080549,0.05219839,11.32,14.24
"06037602900",4443,66.53,12.77,51.2,12.12237612,0.04259906,14.09,8.89
"06037433504",4802,65.92,16.69,62.6,11.96074742,0.05530288,16.14,8.89
"06037121222",5139,74.78,15.13,54.3,11.41126373,0.06464682,15.96,8.13
"06037185320",2991,65.4,11.07,58.9,12.45587973,0.05022962,12.2,10.73
"06037540000",7139,67.6,18.77,48.9,12.04697253,0.04435661,14.34,8.57
"06037120010",2704,93.8,20.79,47.9,12.08174436,0.06464682,9.43,9.76
"06037404703",3110,64.73,14.4,51.8,12.02600668,0.05679963,17.52,8.52
"06037240200",5159,113.88,27.88,64.1,12.116733,0.0438112,16.48,7.48
"06037241120",5146,125.21,21.82,61.9,12.0881206,0.04320513,15.97,7.38
"06037242100",2852,103.63,25.73,91.2,12.06544894,0.04435661,21.67,3.82
"06037570202",6124,63.41,14.42,40.2,12.19282827,0.04320513,16.51,9.08
"06037121900",3761,69.64,18.32,40.1,11.43961966,0.06350576,12.04,10.26
"06037241002",4144,97.62,18.87,45.3,12.0964657,0.04320513,16.77,7.82
"06037204600",4080,51.48,13.23,64.2,12.47302993,0.04791979,9.9,12.18
"06037204820",2241,76.1,20.87,59.4,12.24094412,0.04791979,12.41,12.36
"06037601502",4059,60.33,16.48,64.5,12.04273571,0.04259906,16.73,4.8
"06037531301",4824,60.62,16.34,60.1,12.18460314,0.04863521,13.68,9.33
"06037122420",4503,79.39,21.48,44.8,11.51838156,0.06236471,8.04,8.35
"06037242200",6402,103.63,25.73,75.2,12.06896138,0.04435661,18.34,7.09
"06037239501",3729,76.06,22.09,62.1,12.14625901,0.04490202,17.43,9.14
"06037533001",4709,80.16,24.73,62.9,12.15052197,0.04539285,16.95,7.84
"06037292000",6567,57.93,12.16,50.5,12.06089249,0.04125212,14.45,9.47
"06037575801",2254,104.11,22.57,62.6,11.70661336,0.03975537,18.06,2.31
"06037433801",5944,65.92,16.69,52.1,12.03999382,0.05530288,18.35,8.77
"06037199000",5391,60.2,9.9,49.1,12.97004897,0.04981739,13.47,11.67
"06037532900",7058,80.16,24.73,70.6,12.15052197,0.04490202,18.35,5.87
"06037433102",5348,65.48,16.57,52.4,11.99797143,0.05530288,9.12,15.07
"06037534203",3206,54.25,23.93,62.6,12.0818703,0.04632538,13.63,11.14
"06037302302",5337,67.87,20.38,41.3,11.87080549,0.05334987,10.34,14.69
"06037432700",5779,51.4,11.52,51,11.93241395,0.05763123,14.38,12.41
"06037291110",4391,81.43,14.75,50.1,12.13197187,0.04259906,18.01,10.95
"06037239701",5134,113.88,27.88,63.6,12.11496733,0.0438112,20.55,6.25
"06037536103",5353,52.53,18.39,32,12.03418998,0.04539285,12.65,10.39
"06037240010",3737,78.89,19.66,65.8,12.10418364,0.04435661,15.15,6.15
"06037402402",6635,66.68,15.23,42.8,12.44092467,0.05605125,12.9,8.79
"06037536000",3701,44.43,15.79,44.1,12.062437,0.04539285,17.7,7.48
"06037206200",4001,77.42,10.61,63,12.70828375,0.04791979,2.47,26.04
"06037532500",4195,54,19.34,48.3,12.10088367,0.04632538,15.45,7.65
"06037542502",5006,110.96,17.77,61.4,12.12536191,0.04259906,17.9,8.71
"06037301601",6112,34.9,13.75,44.4,11.787489,0.05685511,6.27,21.45
"06037541603",3059,82.3,18.64,63.2,12.08913112,0.04320513,16.61,8.37
"06037203100",4498,60.33,13.14,62.8,12.41775036,0.04939042,15.56,9.74
"06037602801",3718,124.26,23.64,58.4,12.10553008,0.04259906,19.1,8.02
"06037204810",5277,55.5,15.35,53.8,12.30827709,0.04791979,15.2,9.44
"06037541604",5917,81.13,21.02,64.1,12.08865447,0.04320513,17.32,8.57
"06037543000",4531,118.7,18.6,33.2,12.11120264,0.04259906,17.77,13.29
"06037228800",5353,67,18.06,62.8,12.21219619,0.04588368,15.93,6.87
"06037542106",3523,95.62,24.67,54.9,12.12382492,0.04320513,13.65,7.78
"06037241202",5776,105.63,18.97,54,12.09974001,0.04259906,18.96,9.8
