"GEOID","ozone_ces3"
"06037502500",0.046
"06037542602",0.044
"06037530801",0.046
"06037227020",0.046
"06037533902",0.046
"06037530802",0.046
"06037534502",0.046
"06037294701",0.042
"06037534900",0.046
"06037195802",0.046
"06037534405",0.046
"06037104401",0.057
"06037570403",0.042
"06037402501",0.057
"06037570203",0.044
"06037123204",0.055
"06037229200",0.046
"06037127220",0.055
"06037542106",0.044
"06037123203",0.055
"06037192700",0.048
"06037239201",0.046
"06037532700",0.046
"06037232120",0.046
"06037571701",0.042
"06037218500",0.048
"06037541605",0.044
"06037204810",0.046
"06037531504",0.046
"06037502301",0.046
"06037224020",0.046
"06037535002",0.046
"06037228720",0.046
"06037541606",0.044
"06037503000",0.046
"06037536000",0.044
"06037208302",0.046
"06037603001",0.044
"06037602900",0.044
"06037541700",0.044
"06037219300",0.046
"06037190801",0.05
"06037206010",0.046
"06037104320",0.057
"06037408301",0.05
"06037190510",0.05
"06037402903",0.057
"06037128303",0.055
"06037402406",0.057
"06037533603",0.046
"06037243000",0.044
"06037228710",0.046
"06037433101",0.05
"06037603102",0.044
"06037533602",0.046
"06037502902",0.046
"06037542200",0.044
"06037502302",0.046
"06037240900",0.044
"06037294120",0.042
"06037241002",0.044
"06037241202",0.044
"06037123020",0.055
"06037120300",0.055
"06037207102",0.046
"06037535604",0.044
"06037533105",0.046
"06037120020",0.057
"06037402402",0.057
"06037532001",0.046
"06037405001",0.053
"06037533805",0.046
"06037534203",0.046
"06037534803",0.046
"06037532606",0.046
"06037533601",0.046
"06037123205",0.055
"06037209103",0.046
"06037291300",0.042
"06037121900",0.055
"06037540600",0.044
"06037186401",0.05
"06037533103",0.046
"06037432802",0.05
"06037191000",0.05
"06037226700",0.046
"06037226410",0.046
"06037226420",0.046
"06037533202",0.046
"06037240600",0.044
"06037123303",0.055
"06037540902",0.044
"06037541200",0.044
"06037402301",0.057
"06037241400",0.044
"06037603302",0.044
"06037127605",0.057
"06037432700",0.05
"06037433902",0.048
"06037553602",0.044
"06037218400",0.048
"06037433501",0.048
"06037228600",0.046
"06037570602",0.042
"06037543201",0.042
"06037531902",0.046
"06037232700",0.046
"06037291120",0.044
"06037531702",0.046
"06037542104",0.044
"06037121802",0.055
"06037434004",0.048
"06037185203",0.046
"06037532500",0.046
"06037407002",0.05
"06037239802",0.046
"06037228210",0.046
"06037575402",0.042
"06037231710",0.046
"06037405102",0.053
"06037203600",0.046
"06037570204",0.042
"06037104822",0.055
"06037124104",0.055
"06037302503",0.051
"06037408401",0.048
"06037310501",0.055
"06037237101",0.046
"06037204410",0.046
"06037534406",0.046
"06037237300",0.046
"06037207301",0.046
"06037531901",0.046
"06037192620",0.048
"06037199201",0.046
"06037433504",0.048
"06037531101",0.046
"06037602105",0.044
"06037572900",0.042
"06037208402",0.046
"06037132102",0.057
"06037402902",0.057
"06037127102",0.055
"06037532605",0.046
"06037232400",0.046
"06037408139",0.051
"06037187200",0.048
"06037209200",0.046
"06037302002",0.051
"06037535901",0.044
"06037575101",0.042
"06037228220",0.046
"06037536200",0.044
"06037121010",0.055
"06037221401",0.046
"06037601700",0.044
"06037204420",0.046
"06037123410",0.055
"06037294810",0.042
"06037433700",0.048
"06037552400",0.046
"06037121210",0.055
"06037302301",0.051
"06037540300",0.044
"06037404600",0.053
"06037602802",0.044
"06037533501",0.046
"06037575300",0.042
"06037190520",0.05
"06037242000",0.044
"06037296220",0.042
"06037602700",0.044
"06037294820",0.042
"06037531102",0.046
"06037228420",0.046
"06037127210",0.055
"06037531503",0.046
"06037195720",0.046
"06037603005",0.044
"06037201402",0.046
"06037190802",0.05
"06037540502",0.044
"06037570404",0.042
"06037236100",0.046
"06037407701",0.05
"06037531502",0.046
"06037433304",0.05
"06037291110",0.044
"06037434003",0.048
"06037206031",0.046
"06037533300",0.046
"06037240700",0.044
"06037199900",0.046
"06037535702",0.044
"06037575803",0.042
"06037123301",0.055
"06037302504",0.051
"06037533703",0.046
"06037209402",0.046
"06037502802",0.046
"06037228310",0.046
"06037296600",0.042
"06037231400",0.046
"06037402102",0.06
"06037570501",0.042
"06037402101",0.06
"06037311801",0.055
"06037195710",0.046
"06037433305",0.05
"06037603704",0.044
"06037602508",0.044
"06037534001",0.046
"06037241300",0.044
"06037573300",0.042
"06037121801",0.055
"06037232110",0.046
"06037570603",0.042
"06037302202",0.051
"06037404801",0.051
"06037551800",0.044
"06037224420",0.046
"06037535102",0.044
"06037502004",0.046
"06037231100",0.046
"06037197500",0.046
"06037533701",0.046
"06037576301",0.042
"06037218210",0.048
"06037204200",0.046
"06037237201",0.046
"06037530602",0.048
"06037502100",0.046
"06037533402",0.046
"06037405101",0.053
"06037301502",0.055
"06037219010",0.046
"06037576302",0.042
"06037552302",0.046
"06037542000",0.044
"06037207103",0.046
"06037231500",0.046
"06037575901",0.042
"06037190901",0.05
"06037121101",0.055
"06037191620",0.048
"06037124204",0.053
"06037228500",0.046
"06037533702",0.046
"06037231600",0.046
"06037201700",0.048
"06037211122",0.048
"06037407200",0.05
"06037543306",0.042
"06037211320",0.048
"06037218300",0.048
"06037301701",0.053
"06037600502",0.044
"06037531000",0.046
"06037296500",0.042
"06037432601",0.05
"06037534501",0.046
"06037540203",0.044
"06037533403",0.046
"06037199400",0.046
"06037433200",0.05
"06037542900",0.044
"06037402405",0.057
"06037541300",0.044
"06037573003",0.042
"06037228410",0.046
"06037535607",0.044
"06037191720",0.05
"06037186403",0.048
"06037132101",0.057
"06037540501",0.044
"06037240800",0.044
"06037222002",0.046
"06037204300",0.046
"06037209102",0.046
"06037124201",0.055
"06037301702",0.051
"06037191201",0.05
"06037199800",0.046
"06037240010",0.044
"06037533804",0.046
"06037543903",0.042
"06037433306",0.05
"06037602103",0.044
"06037197700",0.046
"06037553902",0.044
"06037310703",0.055
"06037240020",0.044
"06037502700",0.046
"06037219020",0.046
"06037125320",0.053
"06037602104",0.044
"06037540102",0.044
"06037573202",0.042
"06037575201",0.042
"06037554301",0.044
"06037231900",0.046
"06037532604",0.046
"06037127920",0.055
"06037553504",0.044
"06037533201",0.046
"06037127103",0.055
"06037502200",0.046
"06037120030",0.055
"06037240402",0.044
"06037224600",0.046
"06037575902",0.042
"06037191120",0.05
"06037125310",0.053
"06037542103",0.044
"06037240300",0.046
"06037218120",0.048
"06037220000",0.046
"06037482402",0.048
"06037104810",0.055
"06037201501",0.048
"06037224200",0.046
"06037228320",0.046
"06037573002",0.042
"06037294610",0.042
"06037311802",0.055
"06037402904",0.057
"06037128400",0.055
"06037531701",0.046
"06037542105",0.044
"06037408501",0.05
"06037600303",0.044
"06037210010",0.046
"06037232800",0.046
"06037601501",0.044
"06037122120",0.055
"06037192610",0.048
"06037433401",0.048
"06037600304",0.044
"06037601402",0.046
"06037575102",0.042
"06037191500",0.048
"06037123103",0.055
"06037405201",0.053
"06037232200",0.046
"06037408630",0.05
"06037123510",0.055
"06037553502",0.044
"06037530101",0.046
"06037532002",0.046
"06037221810",0.046
"06037601211",0.046
"06037123420",0.055
"06037433601",0.048
"06037203200",0.046
"06037104404",0.057
"06037185310",0.046
"06037218900",0.046
"06037542800",0.044
"06037207302",0.046
"06037237402",0.046
"06037501400",0.046
"06037502601",0.046
"06037432500",0.051
"06037573100",0.042
"06037238320",0.046
"06037576401",0.042
"06037407801",0.051
"06037543905",0.042
"06037543501",0.042
"06037238310",0.046
"06037534804",0.044
"06037501803",0.046
"06037540800",0.044
"06037570100",0.042
"06037208301",0.046
"06037531604",0.046
"06037191710",0.048
"06037533803",0.046
"06037576402",0.042
"06037552602",0.046
"06037213310",0.048
"06037570304",0.042
"06037551101",0.044
"06037432202",0.05
"06037236202",0.046
"06037404901",0.051
"06037237500",0.046
"06037232600",0.046
"06037573004",0.042
"06037402600",0.057
"06037433307",0.05
"06037104704",0.055
"06037224410",0.046
"06037128210",0.055
"06037533203",0.046
"06037191610",0.048
"06037405202",0.051
"06037433402",0.05
"06037234901",0.046
"06037533503",0.046
"06037554403",0.044
"06037219700",0.046
"06037237710",0.046
"06037209300",0.046
"06037572600",0.042
"06037127803",0.055
"06037603702",0.044
"06037530301",0.046
"06037552301",0.046
"06037109500",0.057
"06037603200",0.042
"06037104701",0.057
"06037232300",0.046
"06037500403",0.046
"06037224700",0.046
"06037208801",0.046
"06037208502",0.046
"06037433802",0.046
"06037433602",0.048
"06037552100",0.046
"06037104821",0.055
"06037405002",0.053
"06037213202",0.048
"06037576200",0.042
"06037221500",0.046
"06037402502",0.057
"06037534404",0.046
"06037236203",0.046
"06037191820",0.048
"06037408140",0.051
"06037553901",0.044
"06037552200",0.046
"06037535501",0.044
"06037231220",0.046
"06037543802",0.042
"06037237401",0.046
"06037572700",0.042
"06037407302",0.051
"06037121221",0.055
"06037221302",0.046
"06037120400",0.055
"06037302201",0.051
"06037408202",0.05
"06037234700",0.046
"06037533502",0.046
"06037530302",0.046
"06037191410",0.048
"06037121600",0.055
"06037603400",0.044
"06037504101",0.046
"06037551900",0.044
"06037213401",0.046
"06037603900",0.044
"06037238000",0.046
"06037532200",0.046
"06037241110",0.044
"06037195804",0.046
"06037221304",0.048
"06037532101",0.046
"06037237600",0.046
"06037601302",0.046
"06037294421",0.042
"06037104610",0.055
"06037481500",0.05
"06037190401",0.05
"06037218702",0.046
"06037406702",0.053
"06037208903",0.046
"06037294510",0.042
"06037222600",0.046
"06037127804",0.055
"06037270300",0.046
"06037128601",0.055
"06037500402",0.046
"06037542700",0.044
"06037127910",0.055
"06037203720",0.046
"06037221601",0.046
"06037221820",0.046
"06037530400",0.046
"06037602403",0.044
"06037119001",0.055
"06037213320",0.046
"06037297120",0.042
"06037231300",0.046
"06037190700",0.05
"06037576901",0.042
"06037123901",0.055
"06037241201",0.044
"06037602505",0.044
"06037404402",0.053
"06037530004",0.046
"06037551102",0.044
"06037218800",0.046
"06037430101",0.053
"06037542501",0.044
"06037216900",0.048
"06037535605",0.044
"06037404401",0.055
"06037231800",0.046
"06037550300",0.046
"06037980010",0.046
"06037190902",0.05
"06037209401",0.046
"06037127711",0.057
"06037231210",0.046
"06037132002",0.06
"06037234300",0.046
"06037407102",0.05
"06037433403",0.05
"06037544001",0.042
"06037554302",0.044
"06037310601",0.055
"06037531201",0.046
"06037191301",0.048
"06037133000",0.06
"06037270100",0.046
"06037501001",0.046
"06037403000",0.057
"06037238200",0.046
"06037208720",0.046
"06037600100",0.046
"06037191420",0.048
"06037570303",0.042
"06037302104",0.051
"06037502401",0.046
"06037433503",0.048
"06037237720",0.046
"06037221110",0.046
"06037234501",0.046
"06037432901",0.05
"06037121102",0.055
"06037701801",0.046
"06037197420",0.046
"06037555001",0.044
"06037553200",0.044
"06037602003",0.044
"06037407802",0.051
"06037402706",0.06
"06037533401",0.046
"06037502602",0.046
"06037234902",0.046
"06037575202",0.042
"06037294302",0.042
"06037217200",0.048
"06037211202",0.048
"06037320300",0.057
"06037500600",0.046
"06037186404",0.048
"06037236204",0.046
"06037208802",0.046
"06037302103",0.051
"06037189201",0.05
"06037572302",0.042
"06037601002",0.046
"06037123104",0.055
"06037408138",0.051
"06037501504",0.046
"06037235202",0.046
"06037222001",0.046
"06037500404",0.046
"06037533107",0.046
"06037197300",0.046
"06037199202",0.046
"06037301802",0.051
"06037120010",0.057
"06037601900",0.044
"06037501804",0.046
"06037570601",0.042
"06037224320",0.046
"06037204120",0.046
"06037554002",0.044
"06037127606",0.057
"06037104403",0.057
"06037240401",0.044
"06037104103",0.055
"06037554203",0.044
"06037572100",0.042
"06037402403",0.057
"06037407602",0.051
"06037602004",0.044
"06037600902",0.046
"06037211310",0.048
"06037550100",0.046
"06037213201",0.048
"06037237102",0.046
"06037432201",0.05
"06037601100",0.046
"06037234600",0.046
"06037218600",0.048
"06037554204",0.044
"06037601801",0.044
"06037119340",0.057
"06037106648",0.057
"06037600400",0.044
"06037127806",0.055
"06037195600",0.046
"06037534002",0.046
"06037209520",0.046
"06037269700",0.046
"06037543322",0.042
"06037602507",0.044
"06037552601",0.044
"06037203900",0.046
"06037407001",0.051
"06037190100",0.05
"06037575103",0.042
"06037541802",0.044
"06037269601",0.046
"06037221710",0.046
"06037191110",0.05
"06037222500",0.046
"06037294410",0.042
"06037554105",0.044
"06037407702",0.05
"06037535902",0.044
"06037235201",0.046
"06037601802",0.044
"06037551700",0.044
"06037296901",0.042
"06037550800",0.046
"06037500500",0.046
"06037115403",0.06
"06037128220",0.055
"06037139303",0.06
"06037209810",0.046
"06037572201",0.042
"06037209104",0.046
"06037208902",0.046
"06037405203",0.053
"06037208401",0.046
"06037131701",0.06
"06037131010",0.06
"06037234800",0.046
"06037221602",0.046
"06037106510",0.062
"06037124203",0.053
"06037104108",0.055
"06037530901",0.046
"06037127805",0.055
"06037190201",0.05
"06037553100",0.044
"06037185202",0.046
"06037531800",0.046
"06037301801",0.051
"06037555211",0.044
"06037117405",0.057
"06037106604",0.06
"06037533104",0.046
"06037134520",0.057
"06037600302",0.044
"06037531202",0.046
"06037554101",0.044
"06037540101",0.044
"06037293202",0.042
"06037208610",0.046
"06037530203",0.046
"06037191901",0.05
"06037554405",0.044
"06037197600",0.046
"06037533106",0.046
"06037119002",0.055
"06037555102",0.044
"06037603500",0.044
"06037534403",0.046
"06037576001",0.042
"06037128102",0.055
"06037294520",0.042
"06037543502",0.042
"06037132700",0.06
"06037191203",0.048
"06037461600",0.051
"06037573402",0.042
"06037117303",0.057
"06037601212",0.046
"06037554404",0.044
"06037302506",0.05
"06037191204",0.048
"06037408302",0.048
"06037222200",0.046
"06037221900",0.046
"06037186301",0.05
"06037192520",0.048
"06037192510",0.048
"06037552900",0.044
"06037404902",0.051
"06037601303",0.046
"06037554001",0.044
"06037134720",0.057
"06037602506",0.044
"06037297201",0.042
"06037212203",0.048
"06037221220",0.046
"06037120108",0.057
"06037120103",0.057
"06037208620",0.046
"06037576403",0.042
"06037407900",0.051
"06037124105",0.055
"06037503104",0.046
"06037117404",0.057
"06037551401",0.044
"06037134904",0.057
"06037602504",0.044
"06037603004",0.044
"06037209403",0.046
"06037127520",0.057
"06037535503",0.044
"06037221120",0.046
"06037406800",0.051
"06037402803",0.057
"06037212800",0.048
"06037237800",0.046
"06037238100",0.046
"06037120104",0.057
"06037237900",0.046
"06037530005",0.048
"06037481604",0.05
"06037604100",0.044
"06037211201",0.048
"06037224310",0.046
"06037550201",0.046
"06037277200",0.046
"06037120106",0.057
"06037221303",0.046
"06037432602",0.051
"06037405302",0.053
"06037481603",0.05
"06037404201",0.055
"06037535803",0.044
"06037302003",0.051
"06037500700",0.046
"06037603802",0.044
"06037541801",0.044
"06037602200",0.044
"06037402200",0.057
"06037554104",0.044
"06037530102",0.046
"06037189101",0.05
"06037134521",0.057
"06037406200",0.055
"06037201601",0.048
"06037127604",0.057
"06037293307",0.042
"06037212900",0.048
"06037120105",0.057
"06037554600",0.044
"06037552700",0.046
"06037294301",0.042
"06037195803",0.046
"06037238400",0.046
"06037501002",0.046
"06037404803",0.051
"06037119320",0.057
"06037234000",0.046
"06037534802",0.046
"06037530006",0.046
"06037530204",0.046
"06037134800",0.057
"06037115302",0.06
"06037104203",0.057
"06037134001",0.057
"06037500300",0.046
"06037127300",0.057
"06037552002",0.046
"06037187101",0.05
"06037408623",0.05
"06037127603",0.057
"06037432401",0.051
"06037302102",0.051
"06037531603",0.046
"06037212701",0.048
"06037482401",0.048
"06037213100",0.048
"06037134710",0.057
"06037213402",0.046
"06037123800",0.055
"06037601202",0.046
"06037133100",0.06
"06037134305",0.057
"06037234200",0.046
"06037277400",0.046
"06037195903",0.048
"06037408133",0.051
"06037554801",0.044
"06037211420",0.048
"06037294200",0.042
"06037900300",0.062
"06037191302",0.048
"06037543321",0.042
"06037540202",0.044
"06037432402",0.05
"06037222100",0.046
"06037571703",0.042
"06037576903",0.042
"06037221210",0.046
"06037320201",0.057
"06037503105",0.046
"06037209820",0.046
"06037294110",0.042
"06037481401",0.05
"06037431100",0.053
"06037502003",0.046
"06037310800",0.055
"06037104204",0.057
"06037544002",0.042
"06037134522",0.057
"06037113422",0.057
"06037106520",0.06
"06037407601",0.051
"06037296902",0.042
"06037212304",0.048
"06037143200",0.053
"06037543702",0.042
"06037408631",0.048
"06037603703",0.044
"06037301900",0.051
"06037530003",0.046
"06037601001",0.046
"06037115404",0.06
"06037131020",0.06
"06037404301",0.055
"06037199120",0.046
"06037197200",0.046
"06037550202",0.046
"06037503902",0.046
"06037117408",0.057
"06037432300",0.05
"06037481103",0.051
"06037219500",0.046
"06037650901",0.042
"06037553000",0.044
"06037543604",0.042
"06037302004",0.051
"06037310701",0.055
"06037117520",0.057
"06037222700",0.046
"06037535804",0.044
"06037602106",0.044
"06037700102",0.05
"06037207502",0.046
"06037600602",0.044
"06037502402",0.046
"06037408004",0.051
"06037190202",0.05
"06037301206",0.053
"06037603801",0.044
"06037188202",0.05
"06037910101",0.062
"06037500900",0.046
"06037407501",0.051
"06037602301",0.044
"06037554521",0.044
"06037104620",0.055
"06037408303",0.048
"06037270200",0.046
"06037212204",0.046
"06037573401",0.042
"06037188300",0.05
"06037192420",0.048
"06037124300",0.053
"06037139302",0.057
"06037113321",0.057
"06037131800",0.06
"06037554511",0.046
"06037404903",0.051
"06037482303",0.048
"06037406701",0.051
"06037119342",0.057
"06037203710",0.046
"06037535701",0.044
"06037212202",0.048
"06037600912",0.046
"06037183620",0.05
"06037119700",0.055
"06037131100",0.06
"06037600501",0.044
"06037600201",0.044
"06037117201",0.057
"06037221402",0.046
"06037481606",0.048
"06037408006",0.053
"06037132300",0.06
"06037535502",0.044
"06037920023",0.065
"06037104500",0.057
"06037481001",0.05
"06037106112",0.057
"06037604001",0.044
"06037115104",0.057
"06037217100",0.048
"06037407502",0.051
"06037104201",0.057
"06037236400",0.046
"06037190301",0.05
"06037310702",0.055
"06037501200",0.046
"06037550601",0.046
"06037552800",0.044
"06037131300",0.06
"06037183820",0.048
"06037211410",0.048
"06037134104",0.057
"06037430102",0.053
"06037201602",0.048
"06037212303",0.048
"06037125200",0.053
"06037482304",0.048
"06037600202",0.044
"06037135114",0.057
"06037480304",0.05
"06037218701",0.048
"06037117407",0.057
"06037320202",0.057
"06037186302",0.048
"06037301204",0.053
"06037402703",0.06
"06037603101",0.044
"06037481402",0.05
"06037600802",0.046
"06037124102",0.053
"06037572202",0.042
"06037120107",0.057
"06037576502",0.042
"06037132001",0.06
"06037482502",0.048
"06037216700",0.048
"06037125501",0.053
"06037482301",0.05
"06037267300",0.046
"06037183610",0.05
"06037577000",0.042
"06037115401",0.06
"06037576501",0.042
"06037293201",0.042
"06037234502",0.046
"06037106114",0.057
"06037201504",0.048
"06037543304",0.042
"06037123602",0.055
"06037139504",0.057
"06037209510",0.046
"06037211922",0.048
"06037553503",0.044
"06037400602",0.055
"06037503106",0.046
"06037402001",0.06
"06037131400",0.06
"06037117530",0.057
"06037208904",0.046
"06037503202",0.046
"06037403318",0.057
"06037406902",0.051
"06037482503",0.048
"06037134002",0.057
"06037602402",0.044
"06037576904",0.042
"06037481002",0.05
"06037128101",0.055
"06037127712",0.057
"06037104105",0.055
"06037543603",0.042
"06037211703",0.048
"06037183220",0.05
"06037503103",0.046
"06037550901",0.046
"06037123520",0.055
"06037218220",0.048
"06037119202",0.057
"06037554201",0.044
"06037482800",0.048
"06037117510",0.057
"06037408402",0.048
"06037481202",0.05
"06037275603",0.046
"06037207101",0.046
"06037402705",0.057
"06037104124",0.055
"06037201301",0.048
"06037502801",0.046
"06037128910",0.053
"06037401704",0.06
"06037551202",0.044
"06037113401",0.06
"06037401603",0.06
"06037535802",0.044
"06037408211",0.05
"06037603301",0.044
"06037555103",0.044
"06037552001",0.046
"06037480902",0.05
"06037430002",0.053
"06037900102",0.065
"06037406411",0.055
"06037555002",0.044
"06037404501",0.053
"06037530202",0.046
"06037534700",0.046
"06037571600",0.042
"06037139401",0.057
"06037554900",0.044
"06037139301",0.057
"06037431200",0.053
"06037603600",0.044
"06037482600",0.048
"06037480903",0.048
"06037576601",0.042
"06037119900",0.055
"06037571704",0.042
"06037123700",0.055
"06037113234",0.057
"06037235100",0.046
"06037602404",0.044
"06037540201",0.044
"06037407301",0.051
"06037207900",0.046
"06037293304",0.042
"06037600702",0.046
"06037572400",0.042
"06037113421",0.057
"06037310400",0.055
"06037900701",0.062
"06037119400",0.057
"06037432902",0.05
"06037195901",0.048
"06037211120",0.046
"06037132502",0.06
"06037106649",0.057
"06037115202",0.06
"06037208501",0.046
"06037701701",0.046
"06037502901",0.046
"06037132900",0.06
"06037212305",0.048
"06037211804",0.048
"06037702803",0.046
"06037406602",0.053
"06037480803",0.05
"06037131702",0.06
"06037189102",0.05
"06037134101",0.057
"06037199300",0.048
"06037201503",0.048
"06037107020",0.06
"06037407400",0.051
"06037551000",0.046
"06037189902",0.05
"06037900806",0.062
"06037702600",0.046
"06037117202",0.057
"06037201200",0.048
"06037501300",0.046
"06037910403",0.062
"06037212410",0.048
"06037134103",0.057
"06037218110",0.048
"06037134303",0.057
"06037212610",0.048
"06037311100",0.055
"06037481201",0.05
"06037404202",0.055
"06037141302",0.053
"06037407101",0.05
"06037551300",0.044
"06037532102",0.046
"06037211910",0.048
"06037554522",0.044
"06037462002",0.051
"06037132501",0.06
"06037701802",0.046
"06037212420",0.048
"06037183810",0.048
"06037701702",0.046
"06037265201",0.046
"06037551402",0.044
"06037134903",0.057
"06037600601",0.044
"06037920106",0.057
"06037107010",0.06
"06037600801",0.046
"06037187300",0.048
"06037554700",0.044
"06037212306",0.048
"06037115301",0.06
"06037301501",0.055
"06037701902",0.046
"06037408135",0.051
"06037700101",0.05
"06037201110",0.048
"06037482101",0.048
"06037482521",0.048
"06037406901",0.051
"06037405301",0.053
"06037670003",0.042
"06037211921",0.048
"06037236000",0.046
"06037271200",0.046
"06037910402",0.062
"06037201401",0.046
"06037183520",0.048
"06037543701",0.042
"06037550700",0.046
"06037900602",0.062
"06037577602",0.042
"06037650101",0.044
"06037216200",0.048
"06037275500",0.046
"06037125600",0.053
"06037297202",0.042
"06037500800",0.046
"06037211500",0.048
"06037482202",0.048
"06037431001",0.053
"06037703200",0.046
"06037207710",0.046
"06037462201",0.053
"06037102107",0.055
"06037109603",0.057
"06037600911",0.046
"06037269602",0.046
"06037103200",0.055
"06037212102",0.048
"06037201120",0.05
"06037481300",0.05
"06037320100",0.057
"06037134901",0.06
"06037920312",0.065
"06037203800",0.046
"06037650200",0.044
"06037134304",0.057
"06037117302",0.057
"06037131600",0.06
"06037124903",0.053
"06037430901",0.053
"06037703100",0.046
"06037125100",0.053
"06037604002",0.044
"06037113233",0.057
"06037460900",0.051
"06037106405",0.06
"06037551501",0.044
"06037603006",0.044
"06037480901",0.05
"06037543703",0.042
"06037293306",0.042
"06037211802",0.048
"06037269905",0.046
"06037199110",0.046
"06037195300",0.048
"06037408134",0.051
"06037311500",0.055
"06037401901",0.06
"06037431400",0.051
"06037191902",0.048
"06037269907",0.046
"06037183300",0.05
"06037550500",0.046
"06037405702",0.053
"06037702400",0.046
"06037297601",0.042
"06037119800",0.055
"06037183103",0.05
"06037124902",0.053
"06037400302",0.06
"06037432102",0.05
"06037482001",0.048
"06037650003",0.044
"06037408504",0.048
"06037461502",0.051
"06037267403",0.046
"06037212620",0.048
"06037543602",0.042
"06037275200",0.046
"06037431501",0.051
"06037109300",0.057
"06037401703",0.06
"06037650902",0.042
"06037551502",0.044
"06037543503",0.042
"06037204110",0.046
"06037703001",0.046
"06037208710",0.046
"06037267700",0.046
"06037650300",0.044
"06037480303",0.05
"06037481712",0.048
"06037192001",0.048
"06037404503",0.053
"06037211803",0.048
"06037481901",0.048
"06037406102",0.055
"06037482522",0.048
"06037106407",0.06
"06037555212",0.044
"06037482702",0.048
"06037183101",0.05
"06037128801",0.055
"06037275102",0.046
"06037600704",0.046
"06037125402",0.053
"06037106646",0.06
"06037403312",0.055
"06037650001",0.044
"06037190402",0.05
"06037570701",0.042
"06037267501",0.046
"06037207501",0.046
"06037402002",0.06
"06037106010",0.06
"06037554512",0.046
"06037125401",0.053
